Date,CPI,Unemployment Rate,GDP
01/07/1959,0.001374098,5.1,0.004555604
01/08/1959,0.00102916,5.2,
01/09/1959,0.002398903,5.5,
01/10/1959,0.003418803,5.7,0.006791941
01/11/1959,0,5.8,
01/12/1959,0.002044293,5.3,
01/01/1960,-0.001360082,5.2,0.026575861
01/02/1960,0.001361934,4.8,
01/03/1960,0,5.4,
01/04/1960,0.004420265,5.2,-0.002889534
01/05/1960,0.001015572,5.1,
01/06/1960,0.001352722,5.4,
01/07/1960,-0.002026342,5.5,0.008361056
01/08/1960,0.002030457,5.6,
01/09/1960,0,5.5,
01/10/1960,0.004728132,6.1,-0.009910118
01/11/1960,0.001008403,6.1,
01/12/1960,0.001007388,6.6,
01/01/1961,0.001006374,6.6,0.008924522
01/02/1961,0,6.9,
01/03/1961,0,6.9,
01/04/1961,-0.001005362,7,0.019314958
01/05/1961,0.001006374,7.1,
01/06/1961,0,6.9,
01/07/1961,0.002680965,7,0.021814614
01/08/1961,0.000668449,6.6,
01/09/1961,0.001336005,6.7,
01/10/1961,0,6.5,0.022809267
01/11/1961,0,6.1,
01/12/1961,0.001000667,6,
01/01/1962,0.000999667,5.8,0.023080818
01/02/1962,0.002330226,5.5,
01/03/1962,0.001992693,5.6,
01/04/1962,0.00132582,5.6,0.010695052
01/05/1962,0.000993049,5.5,
01/06/1962,-0.000992063,5.5,
01/07/1962,0.000331016,5.4,0.0144262
01/08/1962,0.00198544,5.7,
01/09/1962,0.004623514,5.6,
01/10/1962,-0.001314924,5.4,0.005341307
01/11/1962,0,5.7,
01/12/1962,0,5.5,
01/01/1963,0.001974984,5.7,0.015339387
01/02/1963,0.00131406,5.9,
01/03/1963,0.000984252,5.7,
01/04/1963,-0.000983284,5.7,0.012997208
01/05/1963,0.000984252,5.9,
01/06/1963,0.003277614,5.6,
01/07/1963,0.002613525,5.6,0.023329819
01/08/1963,0.001955034,5.4,
01/09/1963,-0.00097561,5.5,
01/10/1963,0.000976563,5.5,0.014732079
01/11/1963,0.00097561,5.7,
01/12/1963,0.003248863,5.5,
01/01/1964,0.001943005,5.6,0.024289764
01/02/1964,-0.000969619,5.4,
01/03/1964,0.00097056,5.4,
01/04/1964,0.000323206,5.3,0.013215451
01/05/1964,0.000969305,5.1,
01/06/1964,0.000968367,5.2,
01/07/1964,0.000322477,4.9,0.019681025
01/08/1964,0.000967118,5,
01/09/1964,0.000966184,5.1,
01/10/1964,0.001287001,5.1,0.007641276
01/11/1964,0.002892031,4.8,
01/12/1964,0.00128164,5,
01/01/1965,0.00096,4.9,0.029356722
01/02/1965,0,5.1,
01/03/1965,0.000959079,4.7,
01/04/1965,0.002235707,4.8,0.017276641
01/05/1965,0.003186743,4.6,
01/06/1965,0.004129606,4.6,
01/07/1965,-0.000949067,4.4,0.026201364
01/08/1965,-0.000949968,4.4,
01/09/1965,0.0022187,4.3,
01/10/1965,0.000948767,4.2,0.030072479
01/11/1965,0.003159558,4.1,
01/12/1965,0.003149606,4,
01/01/1966,0.000941915,4,0.030934487
01/02/1966,0.006273526,3.8,
01/03/1966,0.003117207,3.8,
01/04/1966,0.00310752,3.8,0.011620717
01/05/1966,0.002168525,3.9,
01/06/1966,0.000927357,3.8,
