,CPI,Unemployment Rate,GDP
1961-10-01,0.0,6.5,0.022809267453986815
1961-11-01,0.0,6.1,
1961-12-01,0.0010006671114075605,6.0,
1962-01-01,0.0009996667777407708,5.8,0.023080818171171247
1962-02-01,0.0023302263648468102,5.5,
1962-03-01,0.0019926934573231136,5.6,
1962-04-01,0.0013258203513424327,5.6,0.010695052128488758
1962-05-01,0.0009930486593843213,5.5,
1962-06-01,-0.0009920634920633775,5.5,
1962-07-01,0.00033101621979469975,5.4,0.01442620001798911
1962-08-01,0.0019854401058903015,5.7,
1962-09-01,0.004623513870541718,5.6,
1962-10-01,-0.0013149243918475495,5.4,0.005341306707255855
1962-11-01,0.0,5.7,
1962-12-01,0.0,5.5,
1963-01-01,0.0019749835418039208,5.7,0.015339387208466837
1963-02-01,0.0013140604467805073,5.9,
1963-03-01,0.0009842519685039353,5.7,
1963-04-01,-0.000983284169124965,5.7,0.012997207530659027
1963-05-01,0.0009842519685039353,5.9,
1963-06-01,0.0032776138970829205,5.6,
1963-07-01,0.002613524991832872,5.6,0.023329818722290785
1963-08-01,0.0019550342130987275,5.4,
1963-09-01,-0.0009756097560975618,5.5,
1963-10-01,0.0009765625,5.5,0.01473207912557184
1963-11-01,0.0009756097560975618,5.7,
1963-12-01,0.0032488628979856493,5.5,
1964-01-01,0.0019430051813471572,5.6,0.02428976447308462
1964-02-01,-0.0009696186166774368,5.4,
1964-03-01,0.0009705596894209467,5.4,
1964-04-01,0.0003232062055591456,5.3,0.013215451269143141
1964-05-01,0.0009693053311794486,5.1,
1964-06-01,0.0009683666881858954,5.2,
1964-07-01,0.00032247662044504466,4.9,0.019681025057685986
1964-08-01,0.0009671179883945502,5.0,
1964-09-01,0.0009661835748790981,5.1,
1964-10-01,0.0012870012870014325,5.1,0.007641276185604395
1964-11-01,0.002892030848329119,4.8,
1964-12-01,0.001281640499839698,5.0,
1965-01-01,0.0009600000000000719,4.9,0.02935672195939021
1965-02-01,0.0,5.1,
1965-03-01,0.0009590792838873874,4.7,
1965-04-01,0.002235707441711865,4.8,0.017276640800234055
1965-05-01,0.0031867431485022024,4.6,
1965-06-01,0.0041296060991105055,4.6,
1965-07-01,-0.000949066751028238,4.4,0.02620136375277138
1965-08-01,-0.0009499683343887622,4.4,
1965-09-01,0.0022187004754359307,4.3,
1965-10-01,0.000948766603415585,4.2,0.03007247875749175
1965-11-01,0.003159557661927437,4.1,
1965-12-01,0.0031496062992126816,4.0,
1966-01-01,0.0009419152276295417,4.0,0.030934486569403452
1966-02-01,0.006273525721455453,3.8,
1966-03-01,0.0031172069825435855,3.8,
1966-04-01,0.003107520198881275,3.8,0.0116207174759404
1966-05-01,0.0021685254027261625,3.9,
1966-06-01,0.0009273570324574987,3.8,
1966-07-01,0.0021618282890674134,3.8,0.01820788316742883
1966-08-01,0.006163328197226425,3.8,
1966-09-01,0.003062787136294043,3.7,
1966-10-01,0.003053435114503955,3.7,0.016670774171036573
1966-11-01,0.0009132420091324533,3.6,
1966-12-01,0.0012165450121655041,3.8,
1967-01-01,-0.0006075334143378353,3.9,0.013042090382598293
1967-02-01,0.003039513677811634,3.8,
1967-03-01,0.0,3.8,
1967-04-01,0.003030303030303161,3.8,0.0057014582370849
1967-05-01,0.0,3.8,
1967-06-01,0.0060422960725075026,3.9,
1967-07-01,0.0030030030030030463,3.8,0.01914054816174171
1967-08-01,0.0029940119760478723,3.8,
1967-09-01,0.0029850746268658135,3.8,
1967-10-01,0.0029761904761904656,4.0,0.018730214866978123
1967-11-01,0.005934718100890191,3.9,
1967-12-01,0.002949852507374784,3.8,
1968-01-01,0.002941176470588225,3.7,0.031707242361638244
1968-02-01,0.0029325513196480912,3.8,
1968-03-01,0.0029239766081869956,3.7,
1968-04-01,0.00291545189504383,3.5,0.027443761566857905
1968-05-01,0.0029069767441860517,3.5,
1968-06-01,0.005797101449275477,3.7,
1968-07-01,0.0057636887608067955,3.7,0.01763911364550963
1968-08-01,0.002865329512893977,3.5,
1968-09-01,0.0028571428571428914,3.4,
1968-10-01,0.005698005698005604,3.4,0.018094812399757965
1968-11-01,0.0028328611898016387,3.4,
1968-12-01,0.005649717514124353,3.4,
1969-01-01,0.002808988764045006,3.4,0.026142784831048704
1969-02-01,0.0028011204481790397,3.4,
1969-03-01,0.008379888268156499,3.4,
1969-04-01,0.005540166204986097,3.4,0.015788196754978445
1969-05-01,0.0027548209366392573,3.4,
1969-06-01,0.005494505494505475,3.5,
1969-07-01,0.005464480874316724,3.5,0.020748845414362282
1969-08-01,0.0027173913043478937,3.5,
1969-09-01,0.005420054200542035,3.7,
1969-10-01,0.005390835579514697,3.7,0.007952766914314902
