Ticker,date,FF_PRICE_CLOSE_FP,ff_debt_entrpr_val,ff_tot_debt_tcap_std,ff_fix_assets_com_eq,ff_debt_eq,ff_debt_com_eq,ff_inven_curr_assets,ff_ltd_com_eq,ff_liabs_lease,ff_ltd_tcap,ff_sales_wkcap,ff_bps_gr,ff_oper_inc_tcap,ff_assets_gr,ff_fcf_yld,ff_mkt_val_gr,ff_earn_yld,ff_pbk_tang,ff_zscore,ff_entrpr_val_sales,ff_psales_dil,Implosion_Next_Year,CPI,Unemployment Rate
ACLS-US,2022-12-31,79.36,0.0256559,8.08740881140767,14.9855527713501,8.79902166484828,8.79902166484828,27.62005138752,7.81049552195859,52.116,7.17882881890111,1.46144400512777,25.5610987179732,29.2521157957376,34.496314949347,7.47355,4.94879,6.87777,3.89809,6.89805,2.48744,2.89337,0,0.001312802,3.5
ACMR-US,2022-12-31,7.71,0.20842,10.5390278886152,12.6492170181491,11.7805872660242,11.7805872660242,40.7936866962854,2.93307016607988,1.107,2.62395308328406,0.685055462374381,-1.83884100240446,7.82585987024728,17.4229860128362,-30.4273,-72.4214,7.67834,0.683061,1.79306,0.981015,1.29564,0,0.001312802,3.5
ACN-US,2022-08-31,288.45999,0.0183231,13.0771281196065,21.1601125246126,15.0445191659116,15.0445191659116,0.0,11.8020969509,2563.09,10.2587216118306,15.0694039573076,13.3583283463061,37.195307789802,9.46720831831818,3.43436,-14.4162,3.71268,25.8544,7.06119,2.9468,3.01056,0,0.002348724,3.7
ACNT-US,2022-12-31,8.67,0.54276,43.9849969126016,53.3074132832808,78.5235999076412,78.5235999076412,67.1765223771093,75.4050007820705,32.153,42.2381135161296,3.02524525738329,20.3860205355272,167.366198828457,-3.48198558559852,0.557312,-47.262,24.4521,0.783162,7.90399,0.469009,0.217929,0,0.001312802,3.5
ACRS,2018-12-31,7.39,0.288568,12.4227016068295,1.98955021290047,14.1848422305275,14.1848422305275,0.440670978668405,13.9054684739964,0.0,12.1780336184401,0.0663196566704128,-28.4948173433731,-54.609406486755,12.1947445992492,-42.0089,-59.9765,-54.5792,2.4626,0.63161,10.4793,24.101,1,0.000684894,3.9
ACTG-US,2022-12-31,4.21,-0.782836,18.6742515040078,2.14573331268391,22.9622866673376,24.7336224252749,3.32301365702069,0.725181973052501,1.873,0.547523137456663,0.173788647087823,-2.06686086835899,-11.7198599182662,-42.4620615950274,-22.8615,-48.3984,-74.4228,0.53689,0.16201,-1.3779,3.0184,0,0.001312802,3.5
ACTI-US,2002-12-31,8.55,0.000211527,0.00827593471039871,2.7512236229774,0.00827661967803949,0.00827661967803949,1.24895228458594,0.0,0.0,0.0,0.167875040624636,-13.4263546523785,-6.99128393603455,-8.04500269707944,-3.49297,-6.04721,-8.07018,1.40946,10.8008,2.48579,8.42174,0,0.001652893,6.0
ACTS-US,2015-12-31,1.68,1.39941,34.2180747474833,17.9710628897294,52.0174418978018,52.0174418978018,8.5773746528493,0.0,0.0,0.0,1.01878382020608,-6.89398494846399,-12.6104166578657,-12.4803287902206,-25.3164,-34.7909,-30.8571,0.512451,1.4342,1.17791,1.87577,0,-0.001075553,5.0
ACVA-US,2022-12-31,8.21,0.0917986,14.1530075892273,2.08307598553911,16.4863173324769,16.4863173324769,0.0,16.2454397970864,3.408,13.9462214697014,1.03682632447603,-13.9635404240987,-19.0453550888827,-6.92174656140637,-6.08151,-55.7596,-7.92814,3.85247,1.89195,2.06943,3.05773,0,0.001312802,3.5
ACVC-US,2000-03-31,14.5,0.0,0.0,12.3486527967258,0.0,0.0,20.787118116365,0.0,0.0,0.0,2.12363397723058,32.9284263670355,-10.7754945429741,37.4967601472189,-6.81199,267.067,3.93103,3.47066,18.4221,1.83611,2.09666,0,0.005882353,4.0
AD-US,2006-09-30,27.98,0.127852,37.8021374883749,95.4054544295792,60.777229251744,60.777229251744,1.39380694997052,60.777229251744,0.0,37.8021374883749,10.0752184594768,8.95007699922068,14.7254958759586,8.75399494495854,-1.43206,-11.5644,2.35883,4.91159,5.15621,0.671729,0.611978,0,-0.004906771,4.5
ADAP-US,2022-12-31,1.46,0.428667,21.9875184602925,87.3677911038397,28.184616136203,28.184616136203,0.0,24.8528298199764,20.349,19.3883092754037,0.142145900575416,-62.2420490410294,-182.703621894118,-29.950058034906,-72.7216,-59.0085,-70.2534,2.94952,-4.4321,1.98422,8.67495,0,0.001312802,3.5
ADBL-US,2007-12-31,8.92,0.0,0.0,17.1762340543539,0.0,0.0,0.0786432332626684,0.0,0.0,0.0,2.30473236366685,13.4468601689042,-6.16680532445923,20.8079636609645,7.28385,13.3563,1.12108,3.84685,2.69527,1.27666,2.01176,0,0.002898015,5.0
ADCT,2021-12-31,20.2,0.114182,45.6848907405833,6.76147584413082,84.1108328115216,84.1108328115216,2.11774203990236,79.5325369683541,6.994,43.1981843511475,0.075162826567795,-50.5533933071424,-85.4695767634333,20.3001020066499,-15.2748,-36.8216,-14.8376,10.1738,-0.499732,36.0724,45.709,1,0.00780737,3.9
ADD,2011-06-30,806.400032256001,0.496002,15.6963348702957,40.6664379373892,18.6188054966324,18.6188054966324,1.36114054896109,0.0,0.0,0.0,2.92084669940102,33.3065390705208,9.1730233271749,69.4315708074355,-15.8906,-51.6532,57.4832,0.35978,2.1795,0.22616,0.221013,1,0.0,9.1
ADEP-US,2015-06-30,7.2,0.0,0.0,5.78988843266559,0.0,0.0,34.7045499966691,0.0,0.0,0.0,2.62153533594544,7.13606212586961,-19.3272780058894,2.07741155125491,-9.12323,-23.4062,-5.27778,4.75214,1.17381,1.5959,1.75433,0,0.002767921,5.3
ADGF-US,2011-12-31,6.456,0.0,0.0,1.51626863279372,0.0,0.0,39.5654967352489,0.0,0.0,0.0,1.97851402329014,29.5196384807894,10.7725597050809,28.8058340929808,24.7381,40.2772,27.7261,0.826535,3.32856,0.353144,0.541903,0,0.000237708,8.5
ADIC-US,2005-10-31,9.14,0.0,0.0,19.1693201962778,0.0,0.0,6.54515678868415,0.0,0.0,0.0,1.60473316750523,2.60713246966231,1.76188809051453,3.31283080102867,6.04164,-1.56587,2.51641,1.57713,5.00639,0.711706,1.26783,0,0.001509054,5.0
ADLR-US,2010-12-31,1.21,0.0,0.0,2.36058781002897,0.0,0.0,1.78945703545576,0.0,0.0,0.0,1.12929242103947,-55.4538857160887,-136.520496156335,-42.3157768503138,-65.5143,-16.9784,-48.7603,2.8569,-13.0396,0.218996,1.29484,0,0.004016576,9.3
ADM-US,2022-12-31,92.85,0.166318,29.7581858151105,45.383791797068,42.3653434360072,42.3653434360072,41.7142050268286,35.2124855872179,816.0,24.7338886960546,9.05579819948302,10.6069884771099,10.6328821011223,6.48068975345589,2.41035,34.1834,8.30232,2.86296,3.54674,0.608852,0.514528,0,0.001312802,3.5
ADMA-US,2022-12-31,3.88,0.184812,50.4027840247151,45.2359158426974,101.624218292557,101.624218292557,60.3842345965596,101.028479732565,10.704176,50.1073142786352,0.666622527929487,-4.96844441362091,-12.9158781166125,26.1388036123039,-9.56287,211.72,-8.58505,5.83763,1.57049,5.42366,4.98284,0,0.001312802,3.5
ADNC-US,2014-12-31,4.4,0.0,0.0,11.9589239641047,0.0,0.0,29.7700183942754,0.0,0.0,0.0,1.42243975903614,-42.0485287385025,-39.1620324208752,-35.99228621272,-48.8882,-60.186,-73.8636,1.12648,3.02949,0.356646,0.880582,0,-0.003084609,5.6
